parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
pvalue,0.7099481
analysis_id,92r52lgx68965n0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
gene_symbol,Tox
