analysis_id,mw8n9kty8ad72x2
parameter_id,IMPC_OFD_016_001
pvalue,0.697542
mouse_strain,C57BL
parameter_name,Center permanence time
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
