analysis_id,1024x7zym3p5v2k
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_LDT_008_001
parameter_name,Percent time in dark
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.6310732
