gene_symbol,Ntmt2
mouse_strain,C57BL
analysis_id,125q929lgs328sc
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
pvalue,0.3189769
gene_accession_id,MGI:2685053
parameter_id,IMPC_ACS_006_001
