analysis_id,1w61vtx9e6365f0
mouse_strain,C57BL
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
pvalue,0.138014
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
mouse_life_stage,Early adult
