parameter_id,JAX_OFD_015_001
gene_accession_id,MGI:88479
pvalue,0.337597
mouse_strain,C57BL
gene_symbol,Cpa3
mouse_life_stage,Early adult
analysis_id,m2d7393x6x14754
parameter_name,Center resting time
