gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
pvalue,0.7639098
analysis_id,n1o59k9f0096lab
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
mouse_life_stage,Early adult
