mouse_life_stage,Late adult
pvalue,0.7779886
parameter_name,Body weight
analysis_id,8sy767ws3sn8rms
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
