gene_symbol,Galk2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
analysis_id,k9cp18ag9ch5nx3
pvalue,0.901388
gene_accession_id,MGI:1917226
parameter_id,MGP_IMM_048_001
