analysis_id,025dl91xa3r5g12
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
mouse_life_stage,E12.5
pvalue,0.2667543
