analysis_id,47tk6x51ewu88i7
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
pvalue,0.9000243
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
mouse_strain,C57BL
gene_symbol,Zyg11b
