analysis_id,beotu08x34mnt02
mouse_life_stage,Early adult
pvalue,0.734867
parameter_name,Ulna
mouse_strain,C57BL
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_id,IMPC_XRY_023_001
