analysis_id,tf1e7kz2w176s01
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1919137
parameter_id,MGP_MLN_005_001
gene_symbol,Ppm1j
mouse_life_stage,Early adult
pvalue,0.4509011
mouse_strain,C57BL
