parameter_name,PP1 startle magnitude
analysis_id,oi72h37eh229543
mouse_strain,C57BL
pvalue,0.7685772
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
mouse_life_stage,Early adult
