gene_symbol,ZC2HC1A
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
analysis_id,9cie4fz96612834
mouse_strain,C57BL
pvalue,0.06136269
gene_accession_id,MGI:1914556
