gene_symbol,Lpgat1
parameter_name,Number of rears - total
parameter_id,IMPC_OFD_021_001
analysis_id,1q9m4k2e917c80a
pvalue,0.4482286
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
