parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
analysis_id,s634009g2wqjt35
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
pvalue,0.7356607
mouse_life_stage,Early adult
mouse_strain,C57BL
