gene_symbol,Kifap3
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
pvalue,0.3158874
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
analysis_id,m15015ph6ko1dr7
