parameter_name,Percentage center time
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
pvalue,0.668086
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
analysis_id,7h64s14q2hfjw04
gene_symbol,Eprs1
