parameter_id,IMPC_ACS_006_001
gene_symbol,Rhbg
pvalue,0.9866897
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
analysis_id,r78s5si4y5mc3rz
mouse_strain,C57BL
gene_accession_id,MGI:1927379
