gene_symbol,Nucks1
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
analysis_id,y76104y3d3gfkv9
pvalue,0.4734998
parameter_name,Cue Baseline % Freezing Time
