analysis_id,22b9153u210kojx
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2653612
pvalue,0.5918369
gene_symbol,Amigo1
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
