analysis_id,29th19k50n0g40f
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:2685266
parameter_name,Periphery resting time
gene_symbol,Pglyrp3
pvalue,0.8917829
