parameter_name,Red blood cell count
gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.4422041
analysis_id,86vcp2675r59159
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:109384
mouse_strain,C57BL
