parameter_id,MGP_PBI_033_001
pvalue,0.4766518
gene_accession_id,MGI:1931322
mouse_strain,C57BL
gene_symbol,Car13
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
analysis_id,eebi8uy4sqvwzxr
