parameter_name,Hematocrit
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
analysis_id,030oprnz284h38b
pvalue,0.5900691
mouse_life_stage,Early adult
