analysis_id,q5id1m81tv44qh2
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
gene_symbol,Frmpd1
pvalue,0.7394519
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
