parameter_name,Corneal opacity
pvalue,0.7554331
parameter_id,IMPC_EYE_008_001
gene_symbol,AU040320
analysis_id,k3143b1ur948g6k
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
