analysis_id,24lt34ly98o4x84
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
pvalue,0.973025
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
