parameter_id,JAX_PLC_002_001
gene_symbol,Hspa5
pvalue,0.7742868
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,6ef04e9786pwt4a
parameter_name,HDL cholesterol
gene_accession_id,MGI:95835
