analysis_id,rhhx17l224w33i1
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Late adult
pvalue,0.5820292
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
