gene_symbol,Trpa1
mouse_strain,C57BL
pvalue,0.1807889
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
analysis_id,s8bc4kl40idj3rl
gene_accession_id,MGI:3522699
parameter_name,HRV
