analysis_id,a6k5590hl522d9i
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
pvalue,0.8346459
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
