analysis_id,cw9lgu63158535j
pvalue,0.3914823
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
parameter_name,Macrophages - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_121_001
