parameter_name,Magnesium
mouse_strain,C57BL
parameter_id,M-G-P_025_001_030
pvalue,0.3410404
gene_accession_id,MGI:99501
analysis_id,54yjk57bf20bmm0
gene_symbol,Fgb
mouse_life_stage,Early adult
