analysis_id,xo7tmq3numvb1in
parameter_name,Edema
pvalue,0.6989044
parameter_id,IMPC_GEO_064_001
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
