analysis_id,2r4q44i4r2i33i3
gene_accession_id,MGI:2442483
pvalue,0.9849432
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Usp37
parameter_name,Global prepulse inhibition
