parameter_name,Embryo turning
analysis_id,30522o32runh34v
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
pvalue,0.4858306
gene_symbol,Cds2
parameter_id,IMPC_GEL_011_001
