gene_symbol,Col11a1
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,E18.5
pvalue,0.9160137
analysis_id,5a21704vej91owq
gene_accession_id,MGI:88446
mouse_strain,C57BL
