analysis_id,43gv5fql64067b9
pvalue,0.931695
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
gene_symbol,F2
