analysis_id,k6e624ugi5uds2u
pvalue,0.1371061
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
