analysis_id,y0mfqtn6484bi06
gene_accession_id,MGI:2181659
parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
gene_symbol,Tox
pvalue,0.179089
mouse_strain,C57BL
mouse_life_stage,Early adult
