analysis_id,141fe4z2c223408
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
pvalue,0.7777355
parameter_id,IMPC_EYE_024_001
