analysis_id,9v00avw17t8xyl7
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.2206205
mouse_life_stage,Early adult
parameter_name,Total bilirubin
mouse_strain,C57BL
