analysis_id,p75v819l4n48193
gene_symbol,Tubb4b
pvalue,0.07085276
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915472
