parameter_name,HRV
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,mg5duy4zc824a5i
pvalue,0.750022
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
