parameter_name,End-Diastolic Diameter
gene_accession_id,MGI:1918025
pvalue,0.7714591
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,07m4153z4o8sl5z
parameter_id,IMPC_ECH_002_001
gene_symbol,Zmynd8
