gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_strain,C57BL
analysis_id,o3h4vzsh2743ikf
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
pvalue,0.477978
