analysis_id,asn09j2p17313q5
parameter_name,Heart looping
mouse_life_stage,Early adult
pvalue,0.3463435
mouse_strain,C57BL
gene_accession_id,MGI:2442483
gene_symbol,Usp37
parameter_id,IMPC_GEL_057_001
