parameter_name,White blood cell count
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
analysis_id,r514g980mz6ec41
gene_accession_id,MGI:3026886
pvalue,0.2014631
