parameter_name,Sodium
gene_symbol,Snap23
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
analysis_id,76eu41wo5sx71y4
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.08886623
