mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
parameter_name,Light side time spent
pvalue,0.9883008
analysis_id,pbw2ykc9v1w222s
mouse_strain,C57BL
gene_symbol,Kif24
gene_accession_id,MGI:1918345
