analysis_id,90n6v5a470q1wy6
mouse_strain,C57BL
parameter_name,B2B Cells
gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
pvalue,0.2607937
gene_accession_id,MGI:104848
