gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
pvalue,0.5339668
analysis_id,4mk83d03cfp38u2
