analysis_id,71aw2je18e3dnxa
pvalue,0.6367792
mouse_life_stage,Early adult
parameter_name,LDL-cholesterol
gene_symbol,Cmpk1
parameter_id,IMPC_CBC_025_001
gene_accession_id,MGI:1913838
mouse_strain,C57BL
