gene_symbol,Rap2b
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_name,lens
pvalue,0.3972073
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_009
analysis_id,87ripz6s35ti8ta
