gene_symbol,Arpc5l
parameter_name,Liver weight
analysis_id,e04n48k2eg96f3e
mouse_life_stage,Early adult
pvalue,0.2536574
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
