analysis_id,705j4v9lu8a02y8
parameter_id,JAX_LDT_008_001
mouse_life_stage,Early adult
parameter_name,Percent time in dark
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
pvalue,0.808004
mouse_strain,C57BL
