parameter_name,Potassium
mouse_strain,C57BL
pvalue,0.8255074
analysis_id,m243mv87i43k4dp
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
gene_symbol,Trdmt1
parameter_id,GMC_906_001_005
