analysis_id,n6621wwv2n9q36k
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8718927
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_id,MGP_IMM_007_001
