parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
gene_symbol,Sema6c
analysis_id,edl9cbn0p82g5l5
pvalue,0.09268115
parameter_name,PQ
mouse_strain,C57BL
