gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
mouse_strain,C57BL
pvalue,0.5199573
mouse_life_stage,Early adult
analysis_id,6my88n8n7yf7qvv
