parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
pvalue,0.2935142
gene_symbol,Pglyrp3
analysis_id,0000mye1e05474g
parameter_name,Right kidney weight
