gene_symbol,Rab3gap2
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
pvalue,0.7037363
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
analysis_id,42e7962m3v970mc
gene_accession_id,MGI:1916043
